# #runID ohdu sigmaOSbin
6426 12 6.964196
6426 13 12.789466
6426 14 12.124656
6426 15 12.603493
6425 2 11.408290
6425 3 12.103475
6425 4 11.587492
6425 5 11.351984
6425 6 16.477939
6425 7 10.864490
6425 8 11.877059
6425 9 12.847842
6425 10 12.349901
6425 11 6.669263
6425 12 6.940501
6425 13 12.744600
6425 14 12.181440
6425 15 12.547473
6424 2 11.452887
6424 3 12.107578
6424 4 11.463012
6424 5 11.339422
6424 6 16.510147
6424 7 10.878684
6424 8 11.883943
6424 9 12.901417
6424 10 12.355138
6424 11 6.666468
6424 12 6.924611
6424 13 12.767312
6424 14 12.160300
6424 15 12.559133
6423 2 11.428339
6423 3 12.124447
6423 4 11.556543
6423 5 11.345079
6423 6 16.540525
6423 7 10.860264
6423 8 11.830769
6423 9 12.858196
6423 10 12.347683
6423 11 6.671242
6423 12 6.897951
6423 13 12.792887
6423 14 12.063130
6423 15 12.583833
6422 2 11.464792
6422 3 12.120590
6422 4 11.517379
